ID	DL Section	DL Lesson	Simplified Chinese	Selected Traditional	Cleaned1 CC-CEDICT Pinyin	Selected Pinyin	Pinyin Review Notes	Clean CC-CEDICT English definition	Google_Translate_Definition	Selected English definition	Definition Review Notes	Alternate Occurrences
1	1	Greeting 1	你	你	nǐ	nǐ	[2018-11-15 CFox]: No alternate Pinyin available	you (informal, as opposed to courteous 您)	you	you	[2018-11-9 NRaoul]: Manual Review Completed	你 (Greeting 1), 你们 (Occupation)
2	1	Greeting 1	好	好	hǎo; hào	hǎo	[2018-11-15 CFox]: 爱好 and 好吃 use 4th tone according to GT	good / well / proper / good to / easy to / very / so / (suffix indicating completion or readiness) / (of two people) close / on intimate terms || to be fond of / to have a tendency to / to be prone to	it is good	good	[2018-11-9 NRaoul]: Manual Review Completed	好 (Greeting 1), 好久不见 (Greeting 4), 爱好 (Hobbies 2), 好 (Hobbies 2), 不好意思 (Invitiation 1), 好吃 (Dining 3), 好喝 (Dining 3), 好看 (Shopping 2), 好在 (Sports 2), 好笑 (Personality and Feelings), 好友 (Internet Slang)
3	1	Greeting 1	再见	再見	zài jiàn	zài jiàn	[2018-11-15 CFox]: No alternate Pinyin available	goodbye / see you again later	Goodbye	goodbye	[2018-11-9 NRaoul]: Manual Review Completed	n/a
4	1	Greeting 1	再	再	zài	zài	[2018-11-15 CFox]: No alternate Pinyin available	again / once more / re- / second / another / then (after sth, and not until then)	again	again	[2018-11-9 NRaoul]: Manual Review Completed	再见 (Greeting 1), 再 (Greeting 1), 再 (Phrases 2)
5	1	Greeting 1	见	見	jiàn; xiàn	jiàn	[2018-11-15 CFox]: Manually selected most appropriate Pinyin	to see / to meet / to appear (to be sth) / to interview || to appear / also written 現｜现	see	to see	[2018-11-9 NRaoul]: Manual Review Completed	再见 (Greeting 1), 见 (Greeting 1), 见 (Greeting 4), 好久不见 (Greeting 4), 见 (Location 4), 见面 (Daily Routine 3), 意见 (Work 3)
6	1	Numbers	三	三	Sān; sān	sān	[2018-11-15 CFox]: No alternate Pinyin available	surname San || three / 3	three	three	[2018-11-15 CFox]: Updated from number to text because I think it will display better on the Anki cards	n/a
7	1	Numbers	一	一	yī	yī	[2018-11-15 CFox]: No alternate Pinyin available	one / 1 / single / a (article) / as soon as / entire / whole / all / throughout / 'one' radical in Chinese characters (Kangxi radical 1) / also pr. [yao1] for greater clarity when spelling out numbers digit by digit	One	one	[2018-11-15 CFox]: Updated from number to text because I think it will display better on the Anki cards	一 (Numbers), 一会儿 (Greeting 4), 一点儿 (Telephone), 一共 (Payment), 一下 (Restaurant), 一点儿 (Languages), 一起 (Invitiation 1), 一定 (Health 2), 一样 (Family 3), 一边 (Daily Routine 2), 一直 (Location 6), 一般 (Daily Routine 3), 一个人 (Daily Routine 3)
8	1	Numbers	七	七	qī	qī	[2018-11-15 CFox]: No alternate Pinyin available	seven / 7	Seven	seven	[2018-11-15 CFox]: Updated from number to text because I think it will display better on the Anki cards	n/a
9	1	Numbers	八	八	bā	bā	[2018-11-15 CFox]: No alternate Pinyin available	eight / 8	Eight	eight	[2018-11-15 CFox]: Updated from number to text because I think it will display better on the Anki cards	n/a
10	1	Numbers	十	十	shí	shí	[2018-11-15 CFox]: No alternate Pinyin available	ten / 10	ten	ten	[2018-11-15 CFox]: Updated from number to text because I think it will display better on the Anki cards	n/a
