"Chinese","Pinyin","Definition"
"你","nǐ","you (informal, as opposed to courteous 您) "
"好","hǎo<br />hào","good  / well  / proper  / good to  / easy to  / very  / so  / (suffix indicating completion or readiness)  / (of two people) close  / on intimate terms <br />to be fond of  / to have a tendency to  / to be prone to "
"再见","",""
"再","zài","again  / once more  / re-  / second  / another  / then (after sth, and not until then) "
"见","jiàn<br />xiàn","to see  / to meet  / to appear (to be sth)  / to interview <br />to appear  / also written 現｜现 "
"三","Sān<br />sān","surname San <br />three  / 3 "
"一","yī","one  / 1  / single  / a (article)  / as soon as  / entire  / whole  / all  / throughout  / ""one"" radical in Chinese characters (Kangxi radical 1)  / also pr. [yao1] for greater clarity when spelling out numbers digit by digit "
"七","qī","seven  / 7 "
"八","bā<br />bā<br />bā<br />bā<br />bā<br />bā<br />bā<br />bā","eight  / 8 <br />the character 8 or 八 / birthdate characters used in fortune-telling <br />lit. there is not even the first stroke of the character 八 / things have not even begun to take shape  / no sign of success yet <br />lit. there is not even the first stroke of the character 八 (idiom)  / fig. things have not even begun to take shape  / no sign of success yet <br />shape resembling the character 八 or 8  / V-shape  / splayed  / figure of eight <br />mustache shaped like character 八 <br />lit. there is not even the first stroke of the character 八 / things have not even begun to take shape  / no sign of success yet <br />mustache shaped like character 八 "
"十","shí","ten  / 10 "
"零","líng","zero  / nought  / zero sign  / fractional  / fragmentary  / odd (of numbers)  / (placed between two numbers to indicate a smaller quantity followed by a larger one)  / fraction  / (in mathematics) remainder (after division)  / extra  / to wither and fall  / to wither "
"元","Yuán<br />yuán","surname Yuan  / the Yuan or Mongol dynasty (1279-1368) <br />currency unit (esp. Chinese yuan)  / first  / original  / primary  / fundamental  / constituent  / part  / era (of a reign)  / meta- (prefix)  / (math.) argument  / variable  / (Tw) (geology) eon "
"五","wǔ","five  / 5 "
"九","jiǔ","nine  / 9 "
"百","Bǎi<br />bǎi","surname Bai <br />hundred  / numerous  / all kinds of "
"二","èr","two  / 2  / (Beijing dialect) stupid "
"四","sì","four  / 4 "
"六","liù","six  / 6 "
"叫","jiào<br />jiào","to shout  / to call  / to order  / to ask  / to be called  / by (indicates agent in the passive mood) <br />variant of 叫 "
"我","wǒ","I  / me  / my "
"张","Zhāng<br />zhāng","surname Zhang <br />to open up  / to spread  / sheet of paper  / classifier for flat objects, sheet  / classifier for votes "
"李","Lǐ<br />lǐ","surname Li <br />plum "
"华","Huá<br />Huà<br />huā<br />huá","abbr. for China <br />Mt Hua 華山｜华山 in Shaanxi  / surname Hua <br />old variant of 花 / flower <br />magnificent  / splendid  / flowery "
"明","Míng<br />míng","Ming Dynasty (1368-1644)  / surname Ming  / Ming (c. 2000 BC), fourth of the legendary Flame Emperors, 炎帝 descended from Shennong 神農｜神农 Farmer God <br />bright  / opposite: dark 暗 / (of meaning) clear  / to understand  / next  / public or open  / wise  / generic term for a sacrifice to the gods "
"名字","",""
"什么","",""
"名","míng","name  / noun (part of speech)  / place (e.g. among winners)  / famous  / classifier for people "
"字","zì","letter  / symbol  / character  / word  / CL: 個｜个 / courtesy or style name traditionally given to males aged 20 in dynastic China "
"什","shén<br />shí","what <br />ten (used in fractions, writing checks etc)  / assorted  / miscellaneous "
"么","má<br />ma<br />me<br />me","exclamatory final particle <br />interrogative final particle <br />suffix, used to form interrogative 甚麼｜什么, what?, indefinite 這麼｜这么 thus, etc <br />variant of 麼｜么 "
"姓","xìng","family name  / surname  / CL: 個｜个 / to be surnamed "
"王","Wáng<br />wáng<br />wàng","surname Wang <br />king or monarch  / best or strongest of its type  / grand  / great <br />to rule  / to reign over "
"呢","ne<br />ní","particle indicating that a previously asked question is to be applied to the preceding word (""What about ...?"", ""And ...?"")  / particle for inquiring about location (""Where is ...?"")  / particle signaling a pause, to emphasize the preceding words and allow the listener time to take them on board (""ok?"", ""are you with me?"")  / (at the end of a declarative sentence) particle indicating continuation of a state or action  / particle indicating strong affirmation <br />woolen material "
"很","hěn","(adverb of degree)  / quite  / very  / awfully "
"高兴","",""
"高","Gāo<br />gāo","surname Gao <br />high  / tall  / above average  / loud  / your (honorific) "
"兴","Xīng<br />xīng<br />xìng","surname Xing <br />to rise  / to flourish  / to become popular  / to start  / to encourage  / to get up  / (often used in the negative) to permit or allow (dialect)  / maybe (dialect) <br />feeling or desire to do sth  / interest in sth  / excitement "
"认识","",""
"也","Yě<br />yě","surname Ye <br />also  / too  / (in Classical Chinese) final particle implying affirmation "
"认","rèn","to recognize  / to know  / to admit "
"识","shí<br />zhì","to know  / knowledge  / Taiwan pr. [shi4] <br />to record  / to write a footnote "
"吃","chī<br />chī","to eat  / to consume  / to eat at (a cafeteria etc)  / to eradicate  / to destroy  / to absorb  / to suffer  / to stammer (Taiwan pr. for this sense is [ji2]) <br />variant of 吃 "
"饭","fàn","food  / cuisine  / cooked rice  / meal  / CL: 碗, 頓｜顿"
"鱼","Yú<br />yú","surname Yu <br />fish  / CL: 條｜条, 尾"
"面","miàn<br />miàn<br />miàn","face  / side  / surface  / aspect  / top  / classifier for flat surfaces such as drums, mirrors, flags etc <br />variant of 麵｜面 <br />flour  / noodles  / (of food) soft (not crunchy)  / (slang) (of a person) ineffectual  / spineless "
"喝","hē<br />hè","to drink  / My goodness! <br />to shout loudly "
"水","Shuǐ<br />shuǐ","surname Shui <br />water  / river  / liquid  / beverage  / additional charges or income  / (of clothes) classifier for number of washes "
"茶","chá","tea  / tea plant  / CL: 杯, 壺｜壶"
"不","bù","(negative prefix)  / not  / no "
"是","shì<br />shì","is  / are  / am  / yes  / to be <br />variant of 是 / (used in given names) "
"他","tā","he or him  / (used for either sex when the sex is unknown or unimportant)  / (used before sb's name for emphasis)  / (used as a meaningless mock object)  / other  / another "
"学生","",""
"学","xué","to learn  / to study  / to imitate  / science  / -ology "
"生","shēng","to be born  / to give birth  / life  / to grow  / raw  / uncooked  / student "
"吗","mǎ<br />ma","see 嗎啡｜吗啡, morphine <br />(question particle for ""yes-no"" questions) "
"她","tā","she "
"你们","",""
"我们","",""
"他们","",""
"们","men","plural marker for pronouns, and nouns referring to individuals "
"老师","",""
"医生","",""
"她们","",""
