Duolingo_Category	Simplified Chinese	Traditional Chinese	Pinyin	English Definition
Greeting 1	你		nǐ	you (informal, as opposed to courteous 您)
Greeting 1	好		hǎo   hào	good / well / proper / good to / easy to / very / so / (suffix indicating completion or readiness) / (of two people) close / on intimate terms  to be fond of / to have a tendency to / to be prone to
Greeting 1	再见	再見	zài jiàn	goodbye / see you again later
Greeting 1	再		zài	again / once more / re- / second / another / then (after sth, and not until then)
Greeting 1	见	見	jiàn   xiàn	to see / to meet / to appear (to be sth) / to interview  to appear / also written 現｜现
Numbers	三		Sān   sān	surname San  three / 3
Numbers	一		yī	one / 1 / single / a (article) / as soon as / entire / whole / all / throughout / 'one' radical in Chinese characters (Kangxi radical 1) / also pr. [yao1] for greater clarity when spelling out numbers digit by digit
Numbers	七		qī	seven / 7
Numbers	八		bā	eight / 8
Numbers	十		shí	ten / 10
Numbers	零		líng	zero / nought / zero sign / fractional / fragmentary / odd (of numbers) / (placed between two numbers to indicate a smaller quantity followed by a larger one) / fraction / (in mathematics) remainder (after division) / extra / to wither and fall / to wither
Numbers	元		Yuán   yuán	surname Yuan / the Yuan or Mongol dynasty (1279-1368)  currency unit (esp. Chinese yuan) / first / original / primary / fundamental / constituent / part / era (of a reign) / meta- (prefix) / (math.) argument / variable / (Tw) (geology) eon
Numbers	五		wǔ	five / 5
Numbers	九		jiǔ	nine / 9
Numbers	百		Bǎi   bǎi	surname Bai  hundred / numerous / all kinds of
Numbers	二		èr	two / 2 / (Beijing dialect) stupid
Numbers	四		sì	four / 4
Numbers	六		liù	six / 6
Name	叫		jiào	to shout / to call / to order / to ask / to be called / by (indicates agent in the passive mood)
Name	我		wǒ	I / me / my
Name	张	張	Zhāng   zhāng	surname Zhang  to open up / to spread / sheet of paper / classifier for flat objects, sheet / classifier for votes
Name	李		Lǐ   lǐ	surname Li  plum
Name	华	華	Huá   Huà   huá	abbr. for China  Mt Hua 華山｜华山 in Shaanxi / surname Hua  magnificent / splendid / flowery
Name	明		Míng   míng	Ming Dynasty (1368-1644) / surname Ming / Ming (c. 2000 BC), fourth of the legendary Flame Emperors, 炎帝 descended from Shennong 神農｜神农 Farmer God  bright / opposite: dark 暗 / (of meaning) clear / to understand / next / public or open / wise / generic term for a sacrifice to the gods
Name	名字		míng zi	name (of a person or thing) / CL: 個｜个
Name	什么	什麼	shén me	what? / something / anything
Name	名		míng	name / noun (part of speech) / place (e.g. among winners) / famous / classifier for people
Name	字		zì	letter / symbol / character / word / CL: 個｜个 / courtesy or style name traditionally given to males aged 20 in dynastic China
Name	什		shén   shí	what  ten (used in fractions, writing checks etc) / assorted / miscellaneous
Name	么	麼	má   ma   me	exclamatory final particle  interrogative final particle  suffix, used to form interrogative 甚麼｜什么, what?, indefinite 這麼｜这么 thus, etc
Name	姓		xìng	family name / surname / CL: 個｜个 / to be surnamed
Name	王		Wáng   wáng   wàng	surname Wang  king or monarch / best or strongest of its type / grand / great  to rule / to reign over
